state,Annual_mileage_per_driver
Alabama,17817
Alaska,11111
Arizona,13090
Arkansas,17224
California,12524
Colorado,12899
Connecticut,12117
Delaware,12609
District of Columbia,4623
Florida,14557
Georgia,18334
Hawaii,11688
Idaho,14417
Illinois,12581
Indiana,18024
Iowa,14745
Kansas,14781
Kentucky,16305
Louisiana,14951
Maine,14215
Maryland,13490
Massachusetts,13109
Michigan,14307
Minnesota,17909
Mississippi,19966
Missouri,18521
Montana,15880
Nebraska,14846
Nevada,14016
New Hampshire,11570
New Jersey,12263
New Mexico,19157
New York,10167
North Carolina,16073
North Dakota,17671
Ohio,14278
Oklahoma,17699
Oregon,12218
Pennsylvania,11445
Rhode Island,9961
South Carolina,14941
South Dakota,15541
Tennessee,15287
Texas,16171
Utah,15516
Vermont,13004
Virginia,14509
Washington,10949
West Virginia,16876
Wisconsin,15442
Wyoming,24069
